Pre,M,N,D,PR,SI,Lm,IP,BL,DoMax,DoMin,WMax,WMin,DsMax,WsMax,AR,LR_RL,LR_BL,A,D,FH,G,DF,QS
,24.0,7.7,,16,210,"9,725",165,"29,175",24.15,23.3,7.65,7.2,21.5,6.75,0.92,10,7.5,5.5,10,0.906,1.7,11.81,TSO-C62 
,24.0,7.7,,16,225,"9,725",165,"29,175",24.15,23.3,7.65,7.2,21.5,6.75,0.92,10,7.5,5.5,10,0.906,1.7,11.81,TSO-C62 
,24.0,7.7,,18,,"11,000",195,"33,000",24.15,23.3,7.65,7.2,21.5,6.75,0.92,10,7.5,5.5,10,0.906,,11.81,
,24.0,7.7,,20,190,"12,900",220,"38,700",23.75,23,7.65,7.2,21.28,6.75,0.92,9.85,7.4,5.5,10,0.906,,11.81,MIL-T-5041 
,24.0,8.0,13.0,18,215,"12,500",285,"37,500",24,23,7.65,7.2,22,7.05,0.64,10.4,7.7,5.75,13,1,2.05,15,MIL-T-5041 
,24.0,8.0,13.0,18,230 Kt ,"12,500",285,"37,500",24,23.4,8,7.55,22,7.05,0.64,10.4,7.7,5.75,13,1,2.05,15,MIL-T-5041 
B,24.0,9.5,10.5,18,"12,200",160,"36,600",24,23.3,9.5,8.95,21.6,8.4,0.71,9.8,,6,10.5,0.875,1.9,12.25,,
C,24.5,8.5,12.0,12,,"8,400",98,"25,200",24.5,23.8,8.5,8,22.25,7.5,0.74,9.8,,4.5,12,0.5,1.75,,
*,24.5,8.5,,10,210,"5,710",86,"17,130",24.5,23.75,8.5,8,21.9,7.5,0.86,10,7,6.25,10,0.812,1.35,11.62,TSO-C62 
*,24.5,8.5,,12,,"7,410",110,"22,230",24.5,23.75,8.5,8,21.9,7.5,0.86,10,7,6.25,10,0.812,1.35,11.62,
,25.0,6.0,14.0,16,160,"12,000",330,"36,000",25,24.35,6.15,5.8,23.7,5,0.89,11,9.2,4.27,14,0.875,,15.75,
,25.0,6.75,14.0,16,,"11,000",240,"33,000",25.5,24.8,6.85,6.45,23.44,6.03,0.84,11.2,9.6,4,14,1,,16,
,25.0,6.75,14.0,18,,"13,000",300,"39,000",25.5,24.8,6.85,6.45,23.44,6.03,0.84,11.2,9.6,4,14,1,,16,
,25.0,6.75,,18,239 kt ,"13,000",300,"39,000",25.5,24.8,6.85,6.45,23.44,6.03,0.84,11.1,9.6,5,14,1,2,16,MIL-T-5041 
,25.0,7.75,10.0,12,,"6,900",115,"20,700",25,24.2,7.75,7.3,23.5,7,0.97,10.3,,6,10,1,1.95,12,
,25.5,8.0,14.0,18,230,"15,300",275,"45,900",25.5,24.8,8,7.55,23.14,6.84,0.72,11,9.2,5.75,14,1,,16,MIL-T-5041 
,25.5,8.0,14.0,20,250,"16,200",310,"48,600",25.5,24.8,8,7.55,23.14,6.84,0.72,11,9.2,5.75,14,1,2.1,16,MIL-T-5041 
